STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,61,22300,223,6061022300,61022300,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,65,42730,427.3,6065042730,65042730,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42731,427.31,6065042731,65042731,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42732,427.32,6065042732,65042732,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42733,427.33,6065042733,65042733,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42737,427.37,6065042737,65042737,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42739,427.39,6065042739,65042739,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42742,427.42,6065042742,65042742,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42743,427.43,6065042743,65042743,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42744,427.44,6065042744,65042744,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42745,427.45,6065042745,65042745,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42800,428,6065042800,65042800,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42901,429.01,6065042901,65042901,Rural,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42902,429.02,6065042902,65042902,Rural,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,39,202,2.02,6039000202,39000202,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,41,101100,1011,6041101100,41101100,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,102100,1021,6041102100,41102100,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,102202,1022.02,6041102202,41102202,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,102203,1022.03,6041102203,41102203,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,103100,1031,6041103100,41103100,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,104101,1041.01,6041104101,41104101,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,104102,1041.02,6041104102,41104102,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,104200,1042,6041104200,41104200,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,104300,1043,6041104300,41104300,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,105000,1050,6041105000,41105000,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,106001,1060.01,6041106001,41106001,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,57,200,2,6057000200,57000200,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,300,3,6057000300,57000300,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,401,4.01,6057000401,57000401,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,502,5.02,6057000502,57000502,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,600,6,6057000600,57000600,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,702,7.02,6057000702,57000702,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,802,8.02,6057000802,57000802,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,61,22500,225,6061022500,61022500,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22600,226,6061022600,61022600,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22900,229,6061022900,61022900,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23000,230,6061023000,61023000,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23100,231,6061023100,61023100,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23200,232,6061023200,61023200,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23400,234,6061023400,61023400,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23500,235,6061023500,61023500,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23600,236,6061023600,61023600,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23700,237,6061023700,61023700,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,23800,238,6061023800,61023800,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,990000,9900,6061990000,61990000,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,63,100,1,6063000100,63000100,Frontier,Plumas County,0,6,6,6,Non-core
6,63,400,4,6063000400,63000400,Frontier,Plumas County,0,6,6,6,Non-core
6,65,42903,429.03,6065042903,65042903,Rural,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42904,429.04,6065042904,65042904,Rural,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43001,430.01,6065043001,65043001,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43005,430.05,6065043005,65043005,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43006,430.06,6065043006,65043006,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43007,430.07,6065043007,65043007,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43008,430.08,6065043008,65043008,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43010,430.1,6065043010,65043010,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43206,432.06,6065043206,65043206,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43216,432.16,6065043216,65043216,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43217,432.17,6065043217,65043217,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43218,432.18,6065043218,65043218,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43222,432.22,6065043222,65043222,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43227,432.27,6065043227,65043227,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,43228,432.28,6065043228,65043228,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
